"","date","goose_beaked_present"
"1",2021-10-09,1
"2",2021-10-10,1
"3",2021-10-11,1
"4",2021-10-21,1
"5",2021-10-22,1
"6",2021-10-23,1
"7",2021-10-24,1
"8",2021-10-25,1
"9",2021-10-26,1
"10",2021-10-27,1
"11",2021-10-28,1
"12",2021-10-29,1
"13",2021-11-01,1
"14",2021-11-06,1
"15",2021-11-07,1
"16",2021-11-08,1
"17",2021-11-09,1
"18",2021-11-10,1
"19",2021-11-11,1
"20",2021-11-13,1
"21",2021-11-15,1
"22",2021-11-17,1
"23",2021-11-18,1
"24",2021-11-19,1
"25",2021-11-20,1
"26",2021-11-21,1
"27",2021-11-22,1
"28",2021-11-23,1
"29",2021-11-25,1
"30",2021-11-29,1
"31",2021-12-01,1
"32",2021-12-03,1
"33",2021-12-04,1
"34",2021-12-05,1
"35",2021-12-06,1
"36",2021-12-07,1
"37",2021-12-08,1
"38",2021-12-09,1
"39",2021-12-10,1
"40",2021-12-11,1
"41",2021-12-12,1
"42",2021-12-15,1
"43",2021-12-16,1
"44",2021-12-17,1
"45",2021-12-18,1
"46",2021-12-19,1
"47",2021-12-22,1
"48",2021-12-23,1
"49",2021-12-26,1
"50",2021-12-27,1
"51",2021-12-28,1
"52",2022-01-02,1
"53",2022-01-03,1
"54",2022-01-04,1
"55",2022-01-06,1
"56",2022-01-11,1
"57",2022-01-13,1
"58",2022-01-14,1
"59",2022-01-16,1
"60",2022-01-19,1
"61",2022-01-20,1
"62",2022-01-21,1
"63",2022-01-22,1
"64",2022-01-23,1
"65",2022-01-24,1
"66",2022-01-25,1
"67",2022-01-26,1
"68",2022-01-27,1
"69",2022-01-28,1
"70",2022-01-29,1
"71",2022-01-30,1
"72",2022-01-31,1
"73",2022-02-01,1
"74",2022-02-02,1
"75",2022-02-03,1
"76",2022-02-04,1
"77",2022-02-05,1
"78",2022-02-06,1
"79",2022-02-08,1
"80",2022-02-09,1
"81",2022-02-10,1
"82",2022-02-12,1
"83",2022-02-13,1
"84",2022-02-14,1
"85",2022-02-15,1
"86",2022-02-16,1
"87",2022-02-17,1
"88",2022-02-19,1
"89",2022-02-20,1
"90",2022-02-21,1
"91",2022-02-22,1
"92",2022-02-23,1
"93",2022-02-24,1
"94",2022-02-25,1
"95",2022-02-26,1
"96",2022-02-27,1
"97",2022-02-28,1
"98",2022-03-01,1
"99",2022-03-02,1
"100",2022-03-03,1
"101",2022-03-04,1
"102",2022-03-05,1
"103",2022-03-06,1
"104",2022-03-07,1
"105",2022-03-08,1
"106",2022-03-09,1
"107",2022-03-10,1
"108",2022-03-11,1
"109",2022-03-12,1
"110",2022-03-13,1
"111",2022-03-14,1
"112",2022-03-15,1
"113",2022-03-16,1
"114",2022-03-18,1
"115",2022-03-19,1
"116",2022-03-20,1
"117",2022-03-21,1
"118",2022-03-22,1
"119",2022-03-23,1
"120",2022-03-24,1
"121",2022-03-25,1
"122",2022-03-26,1
"123",2022-03-27,1
"124",2022-03-28,1
"125",2022-03-31,1
"126",2022-04-01,1
"127",2022-04-03,1
"128",2022-04-04,1
"129",2022-04-05,1
"130",2022-04-08,1
"131",2022-04-10,1
"132",2022-04-11,1
"133",2022-04-12,1
"134",2022-04-14,1
"135",2022-04-16,1
"136",2022-04-17,1
"137",2022-06-09,1
"138",2022-06-10,1
"139",2022-06-12,1
"140",2022-06-13,1
"141",2022-06-15,1
"142",2022-06-16,1
"143",2022-06-17,1
"144",2022-06-18,1
"145",2022-06-22,1
"146",2022-06-23,1
"147",2022-06-24,1
"148",2022-06-25,1
"149",2022-06-26,1
"150",2022-06-28,1
"151",2022-06-29,1
"152",2022-07-01,1
"153",2022-07-02,1
"154",2022-07-03,1
"155",2022-07-05,1
"156",2022-07-09,1
"157",2022-07-10,1
"158",2022-07-11,1
"159",2022-07-12,1
"160",2022-07-13,1
"161",2022-07-14,1
"162",2022-07-15,1
"163",2022-07-17,1
"164",2022-07-18,1
"165",2022-07-19,1
"166",2022-07-20,1
"167",2022-07-23,1
"168",2022-07-30,1
"169",2022-08-02,1
"170",2022-08-05,1
"171",2022-08-08,1
"172",2022-08-13,1
"173",2022-08-15,1
"174",2022-08-18,1
"175",2022-08-22,1
"176",2022-08-23,1
"177",2022-08-24,1
"178",2022-08-29,1
"179",2022-09-01,1
"180",2022-09-04,1
"181",2022-09-06,1
"182",2022-09-07,1
"183",2022-09-12,1
"184",2022-09-13,1
"185",2022-09-14,1
"186",2022-09-15,1
"187",2022-09-16,1
"188",2022-09-20,1
"189",2022-09-21,1
"190",2022-09-25,1
"191",2022-09-29,1
"192",2022-09-30,1
"193",2022-10-02,1
"194",2022-10-03,1
"195",2022-10-04,1
"196",2022-10-06,1
"197",2022-10-08,1
"198",2022-10-09,1
"199",2022-10-10,1
"200",2022-10-14,1
"201",2022-10-15,1
"202",2022-10-18,1
"203",2022-10-19,1
"204",2022-10-20,1
"205",2022-10-21,1
"206",2022-10-22,1
"207",2022-10-23,1
"208",2022-10-25,1
"209",2022-10-26,1
"210",2022-10-27,1
"211",2022-10-30,1
"212",2022-10-31,1
"213",2022-11-01,1
"214",2022-11-02,1
"215",2022-11-03,1
"216",2022-11-04,1
"217",2022-11-05,1
"218",2022-11-07,1
"219",2022-11-08,1
"220",2022-11-09,1
"221",2022-11-10,1
"222",2022-11-11,1
"223",2022-11-13,1
"224",2022-11-14,1
"225",2022-11-15,1
"226",2022-11-16,1
"227",2022-11-19,1
"228",2022-11-20,1
"229",2022-11-21,1
"230",2022-11-22,1
"231",2022-11-24,1
"232",2022-11-25,1
"233",2022-11-26,1
"234",2022-11-28,1
"235",2022-11-29,1
"236",2022-11-30,1
"237",2022-12-01,1
"238",2022-12-03,1
"239",2022-12-04,1
"240",2022-12-05,1
"241",2022-12-06,1
"242",2022-12-08,1
"243",2022-12-09,1
"244",2022-12-10,1
"245",2022-12-11,1
"246",2022-12-12,1
"247",2022-12-13,1
"248",2022-12-14,1
"249",2022-12-15,1
